Date,Low,High,Close,Open
2020-01-10,27.06,28.23,27.32,27.19
2020-01-03,27.34,29.295,27.65,28.5
2019-12-27,28.36,29.8092,28.44,29.25
2019-12-20,27.6,29.05,29.04,27.62
2019-12-13,26.68,28.13,27.48,27.62
2019-12-06,26.96,28.9938,27.725,28.79
2019-11-29,28.565,29.33,28.74,28.8
2019-11-22,27.84,29.38,28.68,28.64
2019-11-15,28.46,30.75,28.86,30.54
2019-11-08,29.96,31.58,30.76,30.71
2019-11-01,29.46,31.67,30.56,31.0
2019-10-25,27.815,30.89,30.86,28.51
2019-10-18,27.14,28.81,28.22,27.37
2019-10-11,25.45,28.02,27.355,25.8
2019-10-04,24.51,27.66,25.83,27.35
2019-09-27,26.765,27.88,27.01,27.71
2019-09-20,27.7,29.25,27.99,28.56
2019-09-13,27.71,30.34,29.95,27.79
2019-09-06,25.95,28.23,27.79,26.16
2019-08-30,24.23,26.83,26.31,25.9
2019-08-23,25.35,26.98,25.42,26.2
2019-08-16,25.14,28.51,25.79,28.5
2019-08-09,27.82,29.39,28.78,28.97
2019-08-02,29.0715,31.1862,29.45,30.97
2019-07-26,31.16,34.99,31.24,33.22
2019-07-19,33.06,34.67,33.08,33.67
2019-07-12,31.93,33.9,33.78,31.99
2019-07-05,31.95,33.6632,32.46,33.14
2019-06-28,31.065,32.73,32.61,31.57
2019-06-21,31.51,33.81,31.57,32.1
2019-06-14,30.45,33.32,32.68,31.15
2019-06-07,27.02,31.15,30.92,27.12
2019-05-31,27.105,29.32,27.23,29.26
2019-05-24,28.98,31.635,29.17,30.65
2019-05-17,31.55,33.2,31.74,33.16
2019-05-10,32.941,34.77,33.99,34.25
2019-05-03,33.31,34.9,34.79,33.51
2019-04-26,32.1,34.49,33.06,34.1
2019-04-18,33.59,35.24,34.37,34.65
2019-04-12,32.6,35.235,34.69,33.64
2019-04-05,31.7,34.4,34.06,31.98
2019-03-29,29.97,31.885,31.76,30.53
2019-03-22,30.53,32.12,30.57,31.5
2019-03-15,30.88,32.47,31.43,31.64
2019-03-08,31.37,34.89,31.91,34.76
2019-03-01,34.37,36.725,34.64,35.75
2019-02-22,34.77,35.9,35.49,35.03
2019-02-15,34.96,37.17,35.05,36.08
2019-02-08,35.39,37.23,36.0,36.16
2019-02-01,34.5,37.08,36.11,34.53
2019-01-25,31.39,35.5,34.98,33.76
2019-01-18,30.7,34.04,33.97,31.4
2019-01-11,29.78,33.65,31.8,31.99
2019-01-04,28.81,32.65,32.04,32.09
2018-12-28,29.59,32.6,31.83,30.51
2018-12-21,30.65,33.98,30.78,32.3
2018-12-14,32.08,34.81,32.41,33.67
2018-12-07,33.38,40.58,33.57,40.57
2018-11-30,37.7001,40.2,40.16,38.3
2018-11-23,34.86,38.27,37.95,36.76
2018-11-16,35.7777,38.59,36.75,36.31
2018-11-09,34.8399,37.39,36.22,36.35
2018-11-02,31.95,37.46,36.33,33.14
2018-10-26,30.24,33.33,32.46,32.27
2018-10-19,30.82,35.4,32.04,31.0
2018-10-12,30.75,36.85,30.91,36.44
2018-10-05,36.21,41.75,36.44,41.41
2018-09-28,40.27,43.3,41.33,43.27
2018-09-21,39.65,43.89,43.6,39.7
2018-09-14,38.49,40.401,39.74,38.66
2018-09-07,38.15,41.37,38.43,40.32
2018-08-31,39.02,41.04,40.48,39.02
2018-08-24,37.99,40.71,38.82,38.04
2018-08-17,36.415,38.455,37.79,37.29
2018-08-10,36.445,38.86,37.26,38.26
2018-08-03,37.35,40.29,38.42,39.88
2018-07-27,37.04,40.859,39.69,37.65
2018-07-20,36.93,39.2,37.88,37.26
2018-07-13,35.64,39.41,37.12,38.21
2018-07-06,36.76,38.395,38.09,37.74
2018-06-29,37.06,41.27,37.96,41.09
2018-06-22,41.02,42.68,41.35,42.63
2018-06-15,42.32,44.93,42.77,43.25
2018-06-08,42.88,45.0213,43.11,44.04
2018-06-01,42.66,45.15,44.0,44.6
2018-05-25,42.27,45.82,44.91,43.74
2018-05-18,41.6,44.91,43.38,42.75
2018-05-11,41.47,44.01,42.6,42.92
2018-05-04,41.54,43.81,42.86,43.5
2018-04-27,40.65,47.19,43.4,46.85
2018-04-20,45.62,48.38,46.78,46.13
2018-04-13,45.37,50.86,45.87,50.5
2018-04-06,48.96,53.08,50.29,51.77
2018-03-29,50.05,52.4301,51.96,51.94
2018-03-23,50.99,55.7,51.01,55.33
2018-03-16,54.93,57.44,55.4,56.26
2018-03-09,52.69,56.08,56.07,52.9
2018-03-02,51.87,55.6,53.18,53.99
2018-02-23,51.1,53.86,53.39,51.23
2018-02-16,48.65,52.205,51.58,48.79
2018-02-09,46.33,52.39,48.36,51.99
2018-02-02,52.03,54.71,52.1,52.79
2018-01-26,52.21,58.46,53.07,57.99
2018-01-19,57.53,59.08,58.06,58.79
2018-01-12,51.93,58.73,58.47,52.6
2018-01-05,51.9,54.4,52.65,52.33
2017-12-29,52.01,53.215,52.03,52.35
2017-12-22,51.17,53.47,52.59,51.25
2017-12-15,49.85,51.59,51.06,50.78
2017-12-08,49.19,51.79,51.02,50.1
2017-12-01,48.2,51.16,49.0,48.61
